Condition,Tone,Speaker,Word,L01,L02,L03,L04,L05,L06,L08,L09,L10,L11,L12
Isol1,High,KagMal,scatter,1,0,1,1,1,0,1,1,1,1,1
Isol3,High,KagMal,scatter,0,0,1,0,1,1,1,1,1,1,1
Carrier1,High,KagFem,scatter,0,0,0,0,1,0,1,1,1,1,1
Isol3,High,KagFem,scatter,0,0,1,1,1,0,1,1,1,1,1
Isol1,High,KagFem,scatter,0,0,1,1,1,0,1,1,1,1,1
Isol3,High,YolFem,body hair,1,1,1,1,1,1,1,0,1,1,1
Carrier1,High,YolFem,body hair,0,1,1,1,0,0,1,0,1,1,1
Isol1,High,YolFem,body hair,1,1,1,1,1,1,1,1,1,1,1
Isol3,High,KagFem,body hair,1,1,1,1,0,1,1,0,1,1,1
Carrier1,High,KagFem,body hair,0,0,1,1,0,0,0,0,1,1,1
Isol1,High,KagFem,body hair,1,1,0,1,0,0,1,0,1,1,0
Isol1,High,KagMal,body hair,1,0,0,1,1,0,0,0,0,1,1
Isol3,High,KagMal,body hair,0,1,1,1,1,0,1,0,0,1,1
Carrier1,High,KagMal,body hair,1,1,1,1,0,1,1,0,1,1,1
Carrier1,High,KagMal,hair on head,1,1,1,1,1,1,1,1,1,1,1
Isol1,High,KagMal,hair on head,1,1,1,1,1,1,1,1,1,1,1
Isol3,High,KagFem,hair on head,0,1,1,1,1,1,1,1,1,0,1
Isol1,High,KagFem,hair on head,1,1,1,1,1,1,1,1,1,1,1
Carrier1,High,KagFem,hair on head,1,1,1,1,1,1,1,1,1,1,1
Isol3,High,KagMal,hair on head,1,1,1,1,1,1,1,1,1,1,1
Isol3,High,YolFem,hair on head,1,1,1,1,1,1,1,1,1,1,1
Isol1,High,YolFem,hair on head,1,1,1,1,1,1,1,1,1,1,1
Carrier1,High,YolFem,hair on head,1,1,1,1,1,1,1,1,1,1,1
Isol1,High,KagFem,incense,0,1,1,1,1,0,1,1,1,1,1
Carrier1,High,KagFem,incense,1,1,1,0,1,1,1,0,1,1,1
Isol3,High,KagFem,incense,1,0,0,1,1,1,1,1,1,1,1
Carrier1,High,YolFem,incense,1,1,0,1,1,0,1,1,1,1,1
Carrier1,High,KagMal,incense,1,1,1,1,1,1,1,0,1,1,1
Isol3,High,KagMal,incense,0,1,1,1,1,1,1,0,1,1,1
Isol3,High,YolFem,incense,1,1,1,1,1,1,1,1,1,1,1
Isol1,High,KagMal,incense,0,0,1,0,0,0,0,0,0,0,1
Isol1,High,YolFem,incense,1,1,1,1,1,1,1,1,1,1,1
Isol1,High,YolFem,wood,0,1,1,1,1,1,1,1,1,1,1
Carrier1,High,YolFem,wood,1,1,1,1,1,1,1,1,1,1,1
Carrier1,High,KagMal,wood,1,0,1,0,1,1,1,1,1,1,1
Isol1,High,KagFem,wood,1,1,1,1,1,1,1,1,1,1,1
Isol1,High,KagMal,wood,1,1,1,1,1,1,1,1,1,1,1
Isol3,High,KagFem,wood,1,1,1,1,1,1,1,1,1,1,1
Carrier1,High,KagFem,wood,1,1,1,1,1,1,1,1,1,1,1
Isol1,High,YolFem,cooked rice,1,1,0,1,1,1,1,1,1,1,1
Isol3,High,KagMal,cooked rice,1,1,1,1,0,1,1,0,1,0,1
Isol3,High,KagFem,cooked rice,1,1,1,1,1,1,1,1,1,1,1
Isol1,High,KagFem,cooked rice,1,1,1,1,1,1,1,0,1,0,1
Carrier1,High,YolFem,cooked rice,1,1,1,1,1,1,1,1,1,1,1
Isol1,High,KagMal,cooked rice,1,1,1,0,1,1,1,1,1,1,1
Isol3,High,YolFem,cooked rice,1,1,1,1,1,1,1,1,1,1,1
Carrier1,High,KagFem,cooked rice,1,1,1,1,1,1,1,1,1,1,1
Carrier1,High,KagMal,cooked rice,1,1,1,1,1,1,1,1,1,1,1
